Country Name,Population growth (annual %),GDP growth (annual %),CO2 emissions (kt),Electricity production from natural gas sources (% of total),Renewable energy consumption (% of total final energy consumption)
Argentina,1.033476224,8.85165992,145995.4,52.44618024,9.64
Austria,0.681267248,2.244065325,76242.4,20.20407214,24.41
Belgium,0.550055708,2.321737054,110960.2,26.65881063,2.44
Brazil,1.117202878,3.202132061,331689.1,4.667607863,46.13
Canada,0.944466927,3.204200428,549032.7,6.401686317,21.26
China,0.58812499,11.39459181,5824625.1,0.485589486,17.44
Colombia,1.365652339,4.828761108,58187,14.69892922,28.94
Chile,0.977510012,5.837045715,55968.9,25.9126591,32.26
"Egypt, Arab Rep.",1.983341437,4.471744472,162217.1,74.30858405,6.48
Finland,0.342248594,2.779850556,55460.2,15.91198889,31.52
France,0.749918325,1.66321998,380816.1,4.038619772,8.66
Ethiopia,2.839622994,11.81876595,5049.5,0,94.73
Germany,-0.056778262,0.731707164,802383.2,12.02273465,7.28
Greece,0.293249074,0.599142037,101947.3,13.74964242,8.01
Ghana,2.65989488,5.900003819,6331.1,0,61.43
Kenya,2.97658074,5.90666608,8707.6,0,80.69
Jamaica,0.480782489,0.893797936,10563.7,0,5.43
Mexico,1.429511671,2.113247115,432187.4,40.13350986,10.31
Nigeria,2.693693418,6.438516525,98719,66.99944773,84.01
South Africa,0.945094241,5.277051973,377642.7,0,9.89
Spain,1.689349047,3.652084192,350499.8,27.29741402,7.3
Sweden,0.399942763,2.85880324,50082.6,0.369399804,39.3
Thailand,0.778138864,4.187638429,222096.8,72.33220118,20.11
United Arab Emirates,6.955726898,4.855141196,116453.9,97.86483904,0.11
United Kingdom,0.686611306,2.738842404,540917,38.60140709,1.35
Ukraine,-0.732800944,3.071230392,295405.2,18.37257212,1.27
