Country Name,Country Code,Series Name,year,Renewable energy consumption,Series Code
Brazil,BRA,Renewable energy consumption ,1998,43.79,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,1999,43.98,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2000,42.66,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2001,41.33,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2002,42.85,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2003,45.11,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2004,45.18,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2005,46.13,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2006,46.67,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2007,47.19,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2008,47.04,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2009,48.92,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2010,46.81,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2011,45.26,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2012,43.49,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2013,42.32,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2014,41.71,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2015,43.62,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2016,45.46,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2017,45.33,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2018,46.95,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2019,47.58,EG.FEC.RNEW.ZS
Brazil,BRA,Renewable energy consumption ,2020,50.05,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,1998,17.28,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,1999,17.67,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2000,16.18,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2001,15.01,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2002,13.28,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2003,12.07,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2004,11.1,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2005,9.89,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2006,9.42,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2007,8.86,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2008,9.9,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2009,9.37,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2010,9.65,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2011,9.23,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2012,8.49,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2013,7.94,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2014,7.72,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2015,7.73,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2016,7.97,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2017,8.03,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2018,8.07,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2019,8.84,EG.FEC.RNEW.ZS
South Africa,ZAF,Renewable energy consumption,2020,9.76,EG.FEC.RNEW.ZS
United Kingdom,GBR,Renewable energy consumption ,1998,1.03,EG.FEC.RNEW.ZS
United Kingdom,GBR,Renewable energy consumption ,1999,0.95,EG.FEC.RNEW.ZS
United Kingdom,GBR,Renewable energy consumption ,2000,0.96,EG.FEC.RNEW.ZS
United Kingdom,GBR,Renewable energy consumption ,2001,0.85,EG.FEC.RNEW.ZS
United Kingdom,GBR,Renewable energy consumption ,2002,0.97,EG.FEC.RNEW.ZS
United Kingdom,GBR,Renewable energy consumption ,2003,0.93,EG.FEC.RNEW.ZS
United Kingdom,GBR,Renewable energy consumption ,2004,1.14,EG.FEC.RNEW.ZS
United Kingdom,GBR,Renewable energy consumption ,2005,1.35,EG.FEC.RNEW.ZS
United Kingdom,GBR,Renewable energy consumption ,2006,1.55,EG.FEC.RNEW.ZS
United Kingdom,GBR,Renewable energy consumption ,2007,1.84,EG.FEC.RNEW.ZS
United Kingdom,GBR,Renewable energy consumption ,2008,2.4,EG.FEC.RNEW.ZS
United Kingdom,GBR,Renewable energy consumption ,2009,2.29,EG.FEC.RNEW.ZS
United Kingdom,GBR,Renewable energy consumption ,2010,3.13,EG.FEC.RNEW.ZS
United Kingdom,GBR,Renewable energy consumption ,2011,3.94,EG.FEC.RNEW.ZS
United Kingdom,GBR,Renewable energy consumption ,2012,4.15,EG.FEC.RNEW.ZS
